category,confidence
/Jobs & Education/Jobs/Job Listings,0.8120712041854858
/Science/Computer Science/Machine Learning & Artificial Intelligence,0.860312839349111
/Health/Public Health/Occupational Health & Safety,0.1504807621240615
/Internet & Telecom/Service Providers/Other,0.1241990774869918
/Computers & Electronics/Programming/Other,0.29261242598295206
